id,platform,title,content,tickers,submitted_at,keywords
91,Yahoo Finance 台灣,慘跌破12元！台股大漲1250點「這檔」卻成刀下魂淪弱勢股王　台灣大、國票金也入列,"",{},2026-08-06 00:53:19.909658,{}
92,Yahoo Finance 台灣,美股開盤全面走高！道瓊狂飆逾420點　輝達勁揚3%、台積電ADR續強,"",{},2026-08-06 00:53:19.909658,{adr}
93,Yahoo Finance 台灣,主動ETF大舉買超122億！重押「這載板大廠」32億、加碼台積電27億　國巨上榜網驚：要回800了2 小時前,"",{},2026-08-06 00:53:19.909658,{etf}
94,Yahoo Finance 台灣,美股飆漲不追高！台股連3紅他轉押0050　網質疑進場時機：跌時不買現在追,"",{},2026-08-06 00:53:19.909658,{}
95,Yahoo Finance 台灣,8月除息台股ETF 息利雙收最可期,"",{},2026-08-06 00:53:19.909658,{etf}
96,Yahoo Finance 台灣,債券ETF還能抱嗎？升息風險升高 專家揭3大布局方向靈活應對,"",{},2026-08-06 00:53:19.909658,{etf}
97,Yahoo Finance 台灣,他握3檔ETF全賺錢卻因「1理由」想出清！內行揭致命傷,"",{},2026-08-06 00:53:19.909658,{etf}
98,Yahoo Finance 台灣,南韓散戶對槓桿信仰堅貞　還成美股槓桿型ETF最大海外買家　長抱納斯達克100正3作為長線核心配置｜鏡轉全球｜#鏡新聞,"",{},2026-08-06 00:53:19.909658,{etf}
99,CNN Business,Disney and TikTok strike deal to let creators make videos with its famous characters,"",{},2026-08-06 00:53:19.909658,"{disney,tiktok,strike,deal,let,creators,make,videos,famous,characters}"
100,CNN Business,Kevin Warsh has little to say about interest rates. But he has plenty to say about AI,"",{},2026-08-06 00:53:19.909658,"{say,about,kevin,warsh,little,interest,rates,plenty}"
101,CNN Business,Corporate America got billions of dollars in tariff refunds. Where’s your cut?,"",{},2026-08-06 00:53:19.909658,"{corporate,america,got,billions,dollars,tariff,refunds,where,your,cut}"
102,CNN Business,SpaceX beats expectations in first earnings as a public company,"",{},2026-08-06 00:53:19.909658,"{spacex,beats,expectations,first,earnings,public,company}"
103,CNN Business,What the Cracker Barrel rage spiral was actually about,"",{},2026-08-06 00:53:19.909658,"{what,cracker,barrel,rage,spiral,actually,about}"
104,CNN Business,Influencing looks like the new American Dream for young people. Universities are taking advantage,"",{},2026-08-06 00:53:19.909658,"{influencing,looks,like,new,american,dream,young,people,universities,taking}"
105,CNN Business,AI data centers have become sitting ducks in the Iran warBy David Goldman,"",{},2026-08-06 00:53:19.909658,"{data,centers,become,sitting,ducks,iran,warby,david,goldman}"
106,CNN Business,"‘Difficult’ to be hopeful: How people survive under one of the worst inflation rates in the countryInflation is still hurting many working families nationwide, but in metro areas like Seattle, the pain is even more acute.","",{},2026-08-06 00:53:19.909658,"{difficult,hopeful,how,people,survive,under,one,worst,inflation,rates}"
107,CNN Business,‘The time is now’: Investors gear up to enter Venezuela despite enormous risksSome foreign oil companies and investment firms are moving to invest or expand their existing operations in Venezuela under acting President Rodríguez.,"",{},2026-08-06 00:53:19.909658,"{venezuela,time,now,investors,gear,enter,despite,enormous,riskssome,foreign}"
